Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
dc2801a4f868435b98d90e503fae695e,༄༅༅། །རྒྱ་གར་སྐད་དུ།, བོ་, བོ་, བོ་,བོད་,དྷི་སཏྭ་ཙརྱ་ཨ་བ་ཏཱ་ར, བོ་,OUTLIER/
fcc87f7a3e8642928dfb90dec620bd66,ད་དུ། བོ་དྷི་སཏྭ་ཙརྱ,ཨ་བ་,ཨ་བ་,ཙརྱྭ་བ་,ཙམླཻ་བ་,ཏཱ་ར། བོད་སྐད་དུ། བྱ,ཨ་བ་,OUTLIER/SANSKRIT/
c17a8a8f1a254b12a53b2b232cef4e31,ོན་པར་འགྱུར། །བསྐལ་པ,དུ་མར་,དུ་མར་,དུ་མར་,དམའ་,རབ་དགོངས་མཛད་པ་ཡི། །,དུ་མར་,OUTLIER/
0ff4076746544bb0a74984f3c1e7667c,ག་བསྔལ་ཉིད་ལ་མངོན་པར,རྒྱུག ,རྒྱུག ,རྒྱུག ,བརྒྱུག་ ,།བདེ་བ་འདོད་ཀྱང་གཏི་,རྒྱུག ,OUTLIER/
971cdcc1e7194388bfd5e6b75a8b4355,འོང་ལྡན། །ནམ་མཁའ་རབ་,འབྱམས་,འབྱམས་,འབྱམས་,འབྱམ་,ཁམས་ཀྱི་མཐས་གཏུགས་ན,འབྱམས་,OUTLIER/
a66a3ed8bcb443018079c16ed6a854b0,ལྡན། །མུ་ཏིག་འོད་ཆགས,བླ་རེ་,བླ་རེ་,བླ་བྲེ་,བླ་བྲེ་,བྲེས་པ་དེར། །དེ་བཞིན,བླ་རེ་,SIMILAR/
bf1853374e134214a634a0c9b72bd262,ཤིན་ཏུ་དྲི་ཞིམ་དམ་པ་,འབུལ,འབུལ,དབུལ,དབུལ,། །གོས་བཟང་སྲབ་ལ་འཇམ,འབུལ,SIMILAR/
55f50462e0c54d74b04c3fc7dc52c114,ུ་དངར་བ་ཡི། །རིན་ཆེན,སྒྲོན་མ་,སྒྲོན་མ་,སྒྲོན་མེ་,སྒྲོན་མེ་,རྣམས་ཀྱང་དབུལ་བར་བགྱ,སྒྲོན་མ་,ALTERNATIVE/
2a0bb64832794b8ab43ebdf2cb0c608f,་གནས། །དེ་ལྟར་བདག་ནི,གློ་བུར་,གློ་བུར་,བློ་བུར་,བློ་བུར་,ཞེས། །བདག་གིས་རྟོགས་,གློ་བུར་,ALTERNATIVE/
2ec9101f9a1549a8858786f8b2dc923f,་ཀུན་སེལ་ལ། །དེ་རིང་,ཉིད་,ཉིད་,ཉིད་,འདི་,ནས་སྐྱབས་སུ་མཆི། །དེ,ཉིད་,OUTLIER/
5a7ec8b34e5d4bf0af459ad0ea7cbcf7,གཏི་མུག་སྨད་པའི་གནས།,,སྨད་པའི་གནས་,,,ད་གཡང་ས་ཐ་མལ་ཆུང་ངུ་,,OUTLIER/
0baf7cdc873b480caa762a82c5644798,ུན་འཐོམས་ལ། །ཆོས་ཀྱི,སྒྲོན་མ་,སྒྲོན་མ་,སྒྲོན་མེ་,སྒྲོན་མེ་,སྤར་དུ་གསོལ། །རྒྱལ་བ,སྒྲོན་མ་,ALTERNATIVE/
fd85ea9641934a339c47f97e7b7ed1c9,ྒྱུ་བྱེད་ཀྱང་། །བདག་,,,གིས་,,ལུས་འདི་བྱིན་ཟིན་གྱི,,OUTLIER/
dc465f9f3c8a4fad9ef30ba1c6d24727,་ཀྱི་དེད་དཔོན་དང་། །,བརྒལ་,བརྒལ་,རྒལ་,བརྒལ་,འདོད་རྣམས་ཀྱི་གྲུ་དང,བརྒལ་,OUTLIER/
c877a281d8d94e41b1550956600742d8,། །རྣམ་མང་ཉེར་འཚོའི་,གཞིར་,བཞིར་,གཞིར་,གཞིར་,ཡང་ཤོག །དེ་བཞིན་ནམ་མ,གཞིར་,OUTLIER/
9c5a1b3e48d84b80b160afb2290cb888,་ཀྱང་རྒྱས་པར་བྱ་བའི་,,,,རོ,། །སེམས་ནི་འདི་ལྟར་ག,,OUTLIER/
2d797a2627f74fb484cb61aeb51882b9,པོ་ཡིན། །དམ་ཆོས་འོ་མ,བསྲུབས་པ་ལས,བསྲུབས་པ་ལས,བསྲུབས་པ་ལས,བསྲུབ་པ་ལ,། །མར་གྱི་ཉིང་ཁུ་བྱུ,བསྲུབས་པ་ལས,OUTLIER/
0dbb0375a57145fe8be24454c589663f,ེར་གནས་ཏེ། །སེམས་ཅན་,མགྲོན་,མགྲོན་,འགྲོན་,འགྲོན་,ཆེན་ཚིམ་པར་བྱེད་པ་ཡི,མགྲོན་,ALTERNATIVE/
e31101063c5b4df8aa4aad11a29ddc60,།གསོ་བའི་སྤྱོད་ཡུལ་མ,གྱུར་ཏོ,གྱུར་ཏོ,གྱུར་ཏོ,གྱུར་ཏེ,། །ད་དུང་དེ་བཞིན་བདག,གྱུར་ཏོ,OUTLIER/
