Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
a2a794e55d964f1585fd97b06af31ad5,ཉིས་ཡོད་པ་མ་ཡིན་ཏེ། ,འཁོར་བ་,འཁོར་བ་,འཁོར་བ་,འཁོར་,ཡོངས་སུ་ཤེས་པ་ལ། །མྱ,འཁོར་བ་,OUTLIER/
8bb2fca6a5944a078ca000714879445d,ྱིས་སོ། །ཡང་ན་མཉམ་པར,གཞག་པས་,བཞགས་པས་,གཞག་པས་,གཞག་པས་,ཞེས་འཆད་དོ། །ཆོས་སྟོ,གཞག་པས་,OUTLIER/
24bf1326299646e9815b6dc8ee79188f,ནམ་མཁའི་མཚན་ཉིད་དེ། ,རྟོག་པ་,རྟོག་པ་,རྟོགས་པ་,རྟོག་པ་,ཐམས་ཅད་སྤངས་ཕྱིར་རོ།,རྟོག་པ་,OUTLIER/
4c7719fef0504e8b90b86fd88f6c947c,་བའི་སྒོ་ནས་ཉོན་ཅིག ,ངས་ལེགས་,ངས་ལེགས་,ངེས་ལེགས་,ངས་ལེགས་,པར་བཤད་པར་བྱ་ཡི་ཞེས་,ངས་ལེགས་,OUTLIER/
7b071e0e5f9f4bcdb51be5c169cab982,་དོན་གསལ་སྟོང་པར་གནས,པས་ན,པས་ན,པས་ནས,པས་ན,། སྟོང་པ་ཁོ་ན་ཡང་མིན,པས་ན,OUTLIER/
e9022d174c2447a2b8ff73ba1b12fd2a,ྒོམ་པར་བྱའོ་ཞེས་བསྟན,པ་སྟེ,པ་སྟེ,པ་སྟེ,པ་ཏེ,། དེ་ཡང་རང་ལ་སྣང་བའི,པ་སྟེ,OUTLIER/
2f2dc28201e942e78fad02b2a5b4f9dc,སྒོམ་པའི་དངོས་པོ་དེས,འཆི་ཀ་,འཆི་ཀ་,འཆི་ཁ་,འཆི་ཁ་,མའི་ཚེ་ཞེས་ཐམས་ཅད་ལ་,འཆི་ཀ་,ALTERNATIVE/
0fef9129b9874036a108dbed42b90d85,་བར་མཁས་པས་བཤད་པས་ན་,འདིར་,འདིར་,འདིར་,འདིས་,ནི་དངོས་པོ་ཡུལ་གང་ཟག,འདིར་,OUTLIER/
f6bc366a1b6949809b492c6609d3754c,ཀྱིས། ཆགས་པའི་ཡུལ་ལ་,,པོ་,,,མེད་པར། །དེ་ལ་ཆགས་པ་,,OUTLIER/
8d4d6b99f4f74a44b5b910155cebce82,་ཐོས་ལ་སོགས་པར་གནས་པ,མེད་དོ།,མེད་དོ།,མེད་།,མེད་དོ།, །དེས་ན་མདོ་སྡེ་ལས་ཀ,མེད་དོ།,OUTLIER/
796cc3c5da894c12a12e0f20dc0b391d,བརྩེགས་ལས་ཀྱང་། འོད་,སྲུངས་,སྲུངས་,སྲུང་,སྲུངས་,སེམས་ནི་ཡོངས་སུ་བཙལ་,སྲུངས་,OUTLIER/
30b3e3c4f8c64b0f9d6e1ab434a9d5d0,་སེམས་གང་གིས་ཡོངས་སུ,རྟོགས་པ་,རྟོགས་པ་,རྟོག་པ་,རྟོགས་པ་,དེ་ཡང་སྟོང་པ། ཡོངས་ས,རྟོགས་པ་,OUTLIER/
168cd845baa844159134098f4d8f09bc,ཡིན་ཞེས་མཁས་པ་ཡན་ཆད་,གསུངས་,གསུངས་,གསུང་,གསུངས་,ལ། ཁོ་བོས་ཀྱང་དེ་ལ་ས,གསུངས་,OUTLIER/
1eada15d119e458b8663b1c4f2d8b9e6,ལ་པ་ཞེས་བྱ་བ་ལ་སོགས་,པ་,པས་,པ་,པ་,ནས་སངས་རྒྱས་གཞན་དུ་མ,པ་,OUTLIER/
ef55d6ed2ed54cd988ee20555d9a0038,་དེས། །བདག་དང་མཐའ་ཡས,མ་རིག་,མ་ཅིག་,མ་རིག་,མ་རིག་,པ། །མི་མཐུན་ཤེས་རབ་ཀ,མ་རིག་,OUTLIER/
a6b0745a19684237af295a7e183e5f25,ད་པར་ཤོག །འཕགས་པ་འདའ,ཀ་ཡེ་,ཀ་,ཀ་ཡེ་,ཀ་ཡེ་,ཤེས་ཀྱི་མདོའི་དོན་གས,ཀ་ཡེ་,OUTLIER/
c81b3036c3cf4a27a4a739f38328c32a,རཱ་ཛ་དང་། བོད་ཀྱི་ལོ,ཙཱ་བ་,ཙཱ་བ་,ལོཙྪ་བ་,ལོཙྪ་བ་,འཕགས་པ་ཤེས་རབ་ཀྱིས་བ,ཙཱ་བ་,SANSKRIT/
