Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
ad0962dbe7df4114a4615f0b631d0687,ི། །སྡུག་བསྔལ་ཐམས་ཅད,བསལ་བར་,བསལ་བར་,གསལ་བར་,བསལ་བར་,ཤོག །འགྲོ་བ་ནད་པ་ཇི་,བསལ་བར་,OUTLIER/
8b9a56edab614ad5ab26e398e736d467,ད་བཞིན་ནོར་བུ་བུམ་པ་,བཟང་,བཟང་,བཟངས,བཟང་,། །རིག་སྔགས་གྲུབ་དང་,བཟང་,OUTLIER/
b63bde44577049d0ac8907f56b678bda,ར་འཚོའི་གཞིར་ཡང་ཤོག ,བདག་གིས་,བདག་གིས་,བདག་གི་,བདག་གིས་,བྱང་ཆུབ་སྤྱོད་པ་ལ། །,བདག་གིས་,OUTLIER/
2cad83035563488aa299ea832b1f9883,་པ་ལ། །འཇུག་པ་རྣམ་པར,བརྩམས་པ་,བརྩམས་པ་,བརྩམས་པ་,བསམས་པ་,ཡི། །དགེ་བ་གང་དེས་འག,བརྩམས་པ་,OUTLIER/
a566ad6ec9494e44b59d6f2def45721f,པ་ཇི་སྙེད་པ། །དེ་དག་,བདག་,བདག་,དག་,བདག་,གི་བསོད་ནམས་ཀྱིས། །བ,བདག་,OUTLIER/
56f78691b72d499c8a7fff8f5c89f500,། །དེ་དག་བདག་གི་བསོད,ནམས་ཀྱིས,ནམས་ཀྱིས,ནམས་ཀྱི,ནམས་ཀྱིས,། །བདེ་དགའ་རྒྱ་མཚོ་ཐ,ནམས་ཀྱིས,OUTLIER/
d3c2dae41f914e2b901ccfdf536966e1, །བྱུང་བའི་ཆུ་བོ་མཐའ,ཡས་ཀྱིས,ཡས་ཀྱིས,ཡས་ཀྱི,ཡས་ཀྱིས,། །ཚ་བས་ཉམ་ཐག་བསིལ་བ,ཡས་ཀྱིས,OUTLIER/
10f80a67d8324d20a99f01296bb13cb5,གྱུར་ཅིང་། །པད་མ་དྲི,བསུང་ཆེ་,བསུང་ཆེ་,གསུང་ཆེན་,བསུང་ཆེ་,ལྡན་མཚོ་དག་གིས། །དམྱ,བསུང་ཆེ་,OUTLIER/
9fa35cf3878b4f719396cd64c0766c13,ཀྱིལ་ན་ཕྱག་ན་རྡོ་རྗེ,འབར་བ་,འབར་བ་,འབར་བར་,འབར་བ་,བཞུགས་མཐོང་ནས། །རབ་ཏ,འབར་བ་,OUTLIER/
31b140de9a9046c5a301b2aa12faabf8,ཆོད་ཅིང་། ཐུགས་རྗེས་,རླན་,རླན་,བརླན་,བརླན་,སྤྱན་དབུལ་མེ་ཏོག་དུ་,རླན་,SIMILAR/
3f78697d8a924da78f8dcb0770220259,་ཅིང་། ཐུགས་རྗེས་རླན,སྤྱན་དབུལ་,སྤྱན་དབུལ་,སྤྱན་མ་,སྤྱན་དབུལ་,མེ་ཏོག་དུ་མའི་ཚོགས་ཀ,སྤྱན་དབུལ་,OUTLIER/
d0869b1f82904b1d9f4d039aa8235e4f,ོང་ནས་ད་ནི་སེམས་དམྱལ,ཅ་ཅོ་,ཅ་ཅོ་,ཀུ་ཅོ་,ཀུ་ཅོ་,འདོན་པར་ཤོག །དེ་ལྟར་,ཅ་ཅོ་,SIMILAR/
c78c5828e59243fb87fee523956e43b4,བ་དང་། །བསིལ་ཞིང་དྲི,ཞིམ་ངད་,ཞིམ་ངད་,ཞིམ་པ་,ཞིམ་ངད་,ལྡང་ཆར་པ་འབེབས་མཐོང་,ཞིམ་ངད་,OUTLIER/
7481781719dc4f4d92a5c0f4fdda5119,ང་། །ཕན་ཚུན་སེམས་ནི་,མཉེན་,མཉེན་,གཉེན་,མཉེན་,གྱུར་ཅིག །འགྲོན་པ་དག,མཉེན་,OUTLIER/
2e1a158046ab41af9c2709711d124118,ནས། །གཉེན་དང་ལྷན་ཅིག,དགའ་བར་,དགའ་བར་,དག་པར་,དགའ་བར་,ཤོག །མྱ་ངན་ལམ་གོལ་འཁ,དགའ་བར་,OUTLIER/
c6ba3d7a983341e894275eb616ec2997, །སེམས་ཅན་གཟི་བརྗིད་,ཆུང་,ཆུང་,ཆུ་,ཆུང་,ངུ་གང་། །དེ་དག་གཟི་བ,ཆུང་,OUTLIER/
b2a2979fd23144b689d3e2bae14ed393,་སྙན་སྒྲོགས་པས་གང་པ་,ཡིས,ཡིས,ཡི,ཡིས,། །ཕྱོགས་རྣམས་ཐམས་ཅད,ཡིས,OUTLIER/
d32c67bba1504dea9370c97a3c56eaae,བའི་སྡུག་བསྔལ་གང་ཅི་,འང་,འང་,དུ་ཅིའི་,འང་,རུང་། །དེ་ཀུན་བདག་ལ་,འང་,OUTLIER/
2f2857cc43d64c4b85a2c7a85f786fa7,ུང་བའི་གནས། །བསྟན་པ་,རྙེད་,རྙེད་,སྙེད་,རྙེད་,དང་བཀུར་སྟི་དང་། །བཅ,རྙེད་,OUTLIER/
